10.00000001	10.00000001	0.45
0.90909091	0.909090911	0.56
0.476190478	0.476190476	0.62
0.322580646	0.322580646	0.72
0.24390244	0.243902439	0.78
0.196078432	0.196078432	0.87
0.163934427	0.163934427	0.95
0.14084507	0.14084507	0.97
0.12345679	0.12345679	0.97
9.911425676	10.00321296	0.42
0.901038697	0.909382996	0.46
0.471972651	0.476343474	0.57
0.31972341	0.322684289	0.67
0.241742089	0.243980804	0.72
0.194341679	0.196141431	0.76
0.162482388	0.163987098	0.77
0.139597545	0.140890323	0.82
0.12236328	0.123496456	0.84
0.108916766	0.109925417	0.87
0.098132928	0.099041712	0.86
10.00000001	10	0.45
0.90909091	0.909090909	0.68
0.476190478	0.476190476	0.67
10.06954574	10	0.47
0.915413249	0.909090909	0.6
0.479502179	0.476190476	0.66
0.324824056	0.322580645	0.65
9.842972013	10	0.44
0.894815637	0.909090909	0.57
0.468712953	0.476190476	0.57
9.930934597	10	0.39
0.902812236	0.909090909	0.6
0.472901647	0.476190476	0.64
0.320352728	0.322580645	0.63
9.930934588	10.00321296	0.43
0.902812235	0.909382997	0.44
0.472901647	0.476343473	0.58
0.320352729	0.32268429	0.61
0.242217917	0.243980803	0.68
0.194724208	0.196141431	0.72
0.162802206	0.163987098	0.81
0.139872318	0.140890323	0.81
10.3321431	10	0.72
0.939285736	0.909090909	0.67
9.999999999	10	0.54
0.909090909	0.909090909	0.52
9.999999999	10	0.45
0.909090909	0.909090909	0.59
0.476190476	0.476190476	0.64
0.322580645	0.322580645	0.65
0.243902439	0.243902439	0.75
0.196078431	0.196078431	0.78
0.163934426	0.163934426	0.81
0.14084507	0.14084507	0.89
0.12345679	0.12345679	0.86
9.999999999	10	0.42
0.909090909	0.909090909	0.54
0.476190476	0.476190476	0.6
0.322580645	0.322580645	0.63
0.243902439	0.243902439	0.67
0.196078431	0.196078431	0.69
0.163934426	0.163934426	0.79
0.14084507	0.14084507	0.74
9.999999999	10.00321296	0.42
0.909090909	0.909382996	0.53
0.476190476	0.476343474	0.58
0.322580645	0.322684289	0.6
0.243902439	0.243980804	0.64
0.196078431	0.196141431	0.66
0.163934426	0.163987098	0.68
0.14084507	0.140890323	0.75
0.12345679	0.123496456	0.78
0.10989011	0.109925417	0.77
10	10.00000001	0.68
0.909090909	0.909090911	0.58
10	1.996676907	0.34
0.909090909	0.181516082	0.62
0.476190476	0.095079853	0.68
0.322580645	0.064408933	0.69
0.243902439	0.048699437	0.82
0.196078431	0.039150528	0.86
0.163934426	0.032732408	0.92
0.14084507	0.02812221	0.94
0.12345679	0.024650332	0.92
10	10	0.42
0.909090909	0.909090909	0.53
0.476190476	0.476190476	0.65
0.322580645	0.322580645	0.72
0.243902439	0.243902439	0.74
0.196078431	0.196078431	0.77
0.163934426	0.163934426	0.8
0.14084507	0.14084507	0.83
0.12345679	0.12345679	0.83
10	10	0.46
0.909090909	0.909090909	0.67
0.476190476	0.476190476	0.69
0.322580645	0.322580645	0.72
0.243902439	0.243902439	0.76
0.196078431	0.196078431	0.8
0.163934426	0.163934426	0.77
10.06954573	9.983384545	0.53
0.915413248	0.907580414	0.53
10.06954573	10	0.46
0.915413248	0.909090909	0.59
0.479502178	0.476190476	0.63
0.324824056	0.322580645	0.71
0.245598676	0.243902439	0.73
0.197442073	0.196078431	0.78
0.16507452	0.163934426	0.83
0.141824588	0.14084507	0.77
10.06954573	10	0.45
0.915413248	0.909090909	0.59
0.479502178	0.476190476	0.71
0.324824056	0.322580645	0.78
0.245598676	0.243902439	0.89
0.197442073	0.196078431	0.91
0.16507452	0.163934426	0.92
0.141824588	0.14084507	0.89
10	10	0.46
0.909090909	0.909090909	0.59
0.476190476	0.476190476	0.63
0.322580645	0.322580645	0.75
0.243902439	0.243902439	0.89
0.196078431	0.196078431	0.83
10	10.00321296	0.45
0.909090909	0.909382996	0.58
0.476190476	0.476343474	0.63
0.322580645	0.322684289	0.69
0.243902439	0.243980804	0.77
0.196078431	0.196141431	0.82
0.163934426	0.163987098	0.85
0.14084507	0.140890323	0.86
0.12345679	0.123496456	0.88
0.10989011	0.109925417	0.87
10	10	0.45
0.909090909	0.909090909	0.57
0.476190476	0.476190476	0.62
0.322580645	0.322580645	0.64
